Ref,Val,Package,PosX,PosY,Rot,Side
"BZ400","Buzzer","XDCR_AI-1027-TWT-3V-R",55.9000,43.0192,90.0000,top
"C100","470n","C_0805_2012Metric",69.0000,19.0000,-90.0000,top
"C101","470n","C_0805_2012Metric",65.5000,19.0000,-90.0000,top
"C200","10u","CP_Elec_4x5.7",32.0000,31.0000,135.0000,top
"C201","100n","C_0805_2012Metric",48.0000,38.5000,-45.0000,top
"C202","100n","C_0805_2012Metric",54.0000,27.5000,-135.0000,top
"C203","100n","C_0805_2012Metric",49.0000,22.5000,-135.0000,top
"C204","100n","C_0805_2012Metric",42.0000,22.5000,135.0000,top
"C205","100n","C_0805_2012Metric",37.0000,32.5000,45.0000,top
"C207","10p","C_0805_2012Metric",32.7000,24.8000,-135.0000,top
"C208","10p","C_0805_2012Metric",36.7000,20.8000,-135.0000,top
"C300","100n","C_0805_2012Metric",24.0000,36.0000,90.0000,top
"C303","220n","C_0805_2012Metric",21.2000,33.7000,0.0000,top
"C304","100n","C_0805_2012Metric",21.5000,27.5000,180.0000,top
"C305","100n","C_0805_2012Metric",24.3000,28.0000,-90.0000,top
"C306","100n","C_0805_2012Metric",13.4000,30.5500,-90.0000,top
"C307","10u","CP_Elec_4x5.7",25.5000,44.0000,0.0000,top
"C308","100n","C_0805_2012Metric",25.4500,39.0000,0.0000,top
"C400","100n","C_0805_2012Metric",25.9975,19.6700,0.0000,bottom
"C401","100n","C_0805_2012Metric",43.0000,13.6000,0.0000,top
"C500","100n","C_0805_2012Metric",68.5000,30.5000,0.0000,bottom
"C501","100n","C_0805_2012Metric",64.5000,25.5000,-90.0000,bottom
"D100","PWR","LED_0805_2012Metric",62.0000,23.0000,-90.0000,top
"D400","FLT","LED_0805_2012Metric",54.0000,11.4000,90.0000,top
"D401","DBG","LED_0805_2012Metric",57.5000,11.4000,90.0000,top
"D402","VER","LED_0805_2012Metric",61.0000,11.4000,90.0000,top
"D403","SBY","LED_0805_2012Metric",64.5000,11.4000,90.0000,top
"D404","ERR","LED_0805_2012Metric",50.5000,11.4125,90.0000,top
"D500","TVS","D_SOD-323F",63.1000,35.5000,-90.0000,top
"D501","TVS","D_SOD-323F",63.1000,38.8000,-90.0000,top
"D502","D_Schottky","D_0805_2012Metric",66.5000,30.0000,0.0000,top
"FB500","FerriteBead","L_0805_2012Metric",70.5000,30.0000,180.0000,top
"J100","5V Input","PinHeader_1x02_P2.54mm_Vertical",73.5000,22.7250,180.0000,top
"J300","Distance Sensor","PinHeader_1x04_P2.54mm_Vertical",39.5000,6.7500,-90.0000,top
"J402","SD port","MOLEX_5027740891",14.4750,26.0500,90.0000,bottom
"J500","Debug","PinHeader_1x04_P2.54mm_Vertical",30.3800,53.2500,90.0000,top
"J501","UART","PinHeader_1x04_P2.54mm_Vertical",26.5000,6.7500,-90.0000,top
"J502","I2C","PinHeader_1x04_P2.54mm_Vertical",54.3800,53.2500,90.0000,top
"J503","CAN port","PinHeader_1x02_P2.54mm_Vertical",73.5000,19.0250,0.0000,top
"J504","Motor","PinHeader_2x03_P2.54mm_Vertical",43.4600,50.7250,90.0000,top
"J505","Gimbal","PinHeader_2x03_P2.54mm_Vertical",18.9600,50.7250,90.0000,top
"J506","USB C","2171790001_MOL",72.5000,37.0000,90.0000,top
"R100","330","R_0805_2012Metric",62.0000,19.0000,90.0000,top
"R200","620","R_0805_2012Metric",38.2000,24.8000,-135.0000,top
"R201","10k","R_0805_2012Metric",43.3625,43.1000,180.0000,top
"R300","10k","R_0805_2012Metric",21.0000,23.0000,180.0000,top
"R302","10k","R_0805_2012Metric",16.5000,23.0000,0.0000,top
"R303","10k","R_0805_2012Metric",38.5000,39.0000,-135.0000,top
"R304","10k","R_0805_2012Metric",36.0000,36.5000,45.0000,top
"R400","10k","R_0805_2012Metric",26.5000,12.2500,90.0000,top
"R401","10k","R_0805_2012Metric",26.5000,16.7500,-90.0000,top
"R402","330","R_0805_2012Metric",54.0000,7.6500,90.0000,top
"R403","330","R_0805_2012Metric",57.5000,7.6500,90.0000,top
"R404","330","R_0805_2012Metric",61.0000,7.6500,90.0000,top
"R405","330","R_0805_2012Metric",64.5000,7.6500,90.0000,top
"R406","330","R_0805_2012Metric",50.5000,7.6625,90.0000,top
"R500","10k","R_0805_2012Metric",57.9000,49.2000,180.0000,top
"R501","10k","R_0805_2012Metric",53.3875,49.2000,0.0000,top
"R502","120","R_0805_2012Metric",68.4000,18.7000,180.0000,bottom
"R503","5k1","R_0805_2012Metric",66.0500,34.8500,-90.0000,top
"R504","5k1","R_0805_2012Metric",66.0000,39.6500,90.0000,top
"SW400","Mode Switch","SW_DS04-254-1-02BK-SMT",19.5000,14.5000,180.0000,top
"SW401","Reset","DTS32NVB",39.7000,17.6000,0.0000,top
"U100","ADP3330ARTZ3.3-RL7","SOT-23-6",68.0000,23.0000,90.0000,top
"U200","STM32H573RIT6","LQFP-64_10x10mm_P0.5mm",45.5000,30.0000,45.0000,top
"U300","LIS2MDL","LGA-12_2x2mm_P0.5mm",21.5000,36.5000,0.0000,top
"U301","LSM6DSL","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",21.5000,30.0000,0.0000,top
"U302","MS5607-02BA","LGA-8_3x5mm_P1.25mm",16.5000,29.5000,0.0000,top
"U400","AT25DF321A-SH-T","SOIC-8_3.9x4.9mm_P1.27mm",27.4975,24.6700,90.0000,bottom
"U500","MCP2562T-E_SN","SOIC-8_5.3x5.3mm_P1.27mm",68.5000,24.5000,-90.0000,bottom
"Y200","25MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",34.7000,22.8000,-135.0000,top
