Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,1,BZ400,Buzzer,~,XDCR_AI-1027-TWT-3V-R,"Buzzer, polarized",,,
2,2,C207 C208,10p,~,C_0805_2012Metric,Unpolarized capacitor,,,
3,14,C201 C202 C203 C204 C205 C300 C304 C305 C306 C308 C400 C401 C500 C501,100n,~,C_0805_2012Metric,Unpolarized capacitor,,,
4,1,C303,220n,~,C_0805_2012Metric,Unpolarized capacitor,,,
5,2,C100 C101,470n,~,C_0805_2012Metric,Unpolarized capacitor,,,
6,2,C200 C307,10u,~,CP_Elec_4x5.7,Polarized capacitor,,,
7,1,D401,DBG,~,LED_0805_2012Metric,Light emitting diode,,,
8,1,D502,D_Schottky,~,D_0805_2012Metric,Schottky diode,,,
9,1,D404,ERR,~,LED_0805_2012Metric,Light emitting diode,,,
10,1,D400,FLT,~,LED_0805_2012Metric,Light emitting diode,,,
11,1,D100,PWR,~,LED_0805_2012Metric,Light emitting diode,,,
12,1,D403,SBY,~,LED_0805_2012Metric,Light emitting diode,,,
13,2,D500 D501,TVS,https://www.infineon.com/dgdl/Infineon-ESD131-B1-W0201-DataSheet-v02_00-EN.pdf?fileId=5546d4625cc9456a015ce94850964889,D_SOD-323F,"Bidirectional ESD protection diode, ±5.5Vrwm, 0.23pF, SG-WLL-2-3",,,
14,1,D402,VER,~,LED_0805_2012Metric,Light emitting diode,,,
15,1,FB500,FerriteBead,~,L_0805_2012Metric,Ferrite bead,,,
16,8,J100 J300 J500 J501 J502 J503 J504 J505,5V Input,~,PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated Generic connector, single row, 01x04, script generated Generic connector, double row, 02x03, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",,,
17,1,J402,SD port,,MOLEX_5027740891,,,,
18,1,J506,USB C,https://www.molex.com/en-us/products/part-detail-pdf/2171790001?display=pdf,2171790001_MOL,,,,
19,1,R502,120,~,R_0805_2012Metric,Resistor,,,
20,6,R100 R402 R403 R404 R405 R406,330,~,R_0805_2012Metric,Resistor,,,
21,1,R200,620,~,R_0805_2012Metric,Resistor,,,
22,2,R503 R504,5k1,~,R_0805_2012Metric,Resistor,,,
23,9,R201 R300 R302 R303 R304 R400 R401 R500 R501,10k,~,R_0805_2012Metric,Resistor,,,
24,1,SW400,Mode Switch,~,SW_DS04-254-1-02BK-SMT,"2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",,,
25,1,SW401,Reset,~,DTS32NVB,"Push button switch, generic, two pins",,,
26,1,U100,ADP3330ARTZ3.3-RL7,,SOT-23-6,,,,
27,1,U400,AT25DF321A-SH-T,https://www.renesas.com/us/en/document/dst/at25df321a-datasheet?r=1608476,SOIC-8_3.9x4.9mm_P1.27mm,"The AT25DF321A is a member of our System Enhancing class of code and data storage solutions. It is designed for all system memory tasks ranging from boot/code shadowing to data logging and includes the 256-byte page Erase feature that enables efficient, lower energy datalogging.",,,
28,1,U300,LIS2MDL,https://www.st.com/resource/en/datasheet/lis2mdl.pdf,LGA-12_2x2mm_P0.5mm,"Ultra-low-power, 3-axis digital output magnetometer, LGA-12",,,
29,1,U301,LSM6DSL,https://www.st.com/resource/en/datasheet/lsm6dsl.pdf,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,"I2C/SPI, iNEMO inertial module: always-on 3D accelerometer and 3D gyroscope, 1.71V to 3.6V VCC",,,
30,1,U500,MCP2562T-E_SN,https://www.snapeda.com/parts/MCP2562T-E/SN/Microchip/datasheet/,SOIC-8_5.3x5.3mm_P1.27mm,,Microchip,,
31,1,U302,MS5607-02BA,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FMS5607-02BA03%7FB2%7Fpdf%7FEnglish%7FENG_DS_MS5607-02BA03_B2.pdf%7FCAT-BLPS0035,LGA-8_3x5mm_P1.25mm,"Barometric pressure sensor, 20cm resolution, 10 to 1200 mbar, I2C and SPI interface up to 20MHz, LGA-8",,,
32,1,U200,STM32H573RIT6,https://www.st.com/resource/en/datasheet/stm32h573ri.pdf,LQFP-64_10x10mm_P0.5mm,"STMicroelectronics Arm Cortex-M33 MCU, 2048KB flash, 640KB RAM, 250 MHz, 1.62-3.6V, 49 GPIO, LQFP64",,,
33,1,Y200,25MHz,~,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,"Four pin crystal, GND on pins 2 and 3",,,
